Full Name,Filler Name,Short Name,Districts,Type
ulica Abecadło,ulicy Abecadło,ul. Abecadło,Bielany,ulica
ulica gen. Romana Abrahama,ulicy gen. Romana Abrahama,ul. gen. R. Abrahama,Praga-Południe,ulica
ulica Edwarda Józefa Abramowskiego,ulicy Edwarda Józefa Abramowskiego,ul. E. J. Abramowskiego,Mokotów,ulica
ulica Franciszka Adolfa Achera,ulicy Franciszka Adolfa Achera,ul. F. A. Achera,Ursus,ulica
ulica Achillesa,ulicy Achillesa,ul. Achillesa,Ursynów,ulica
Rondo płk. Bernarda Adameckiego,Ronda płk. Bernarda Adameckiego,Rondo płk. B. Adameckiego,Bemowo,Rondo
ulica Karola Adamieckiego,ulicy Karola Adamieckiego,ul. K. Adamieckiego,Ursus,ulica
ulica Adampolska,ulicy Adampolskiej,ul. Adampolska,Praga-Południe,ulica
ulica Admiralska,ulicy Admiralskiej,ul. Admiralska,Rembertów,ulica
ulica Adriatycka,ulicy Adriatyckiej,ul. Adriatycka,Mokotów,ulica
ulica Afrodyty,ulicy Afrodyty,ul. Afrodyty,Bemowo,ulica
ulica Afrykańska,ulicy Afrykańskiej,ul. Afrykańska,Praga-Południe,ulica
ulica Agatowa,ulicy Agatowej,ul. Agatowa,Targówek,ulica
ulica Agatowa,ulicy Agatowej,ul. Agatowa,Wesoła,ulica
ulica Agawy,ulicy Agawy,ul. Agawy,Wola,ulica
ulica Agawy,ulicy Agawy,ul. Agawy,Wesoła,ulica
ulica Agnieszki,ulicy Agnieszki,ul. Agnieszki,Targówek,ulica
ulica Agrarna,ulicy Agrarnej,ul. Agrarna,Rembertów,ulica
ulica Agrestowa,ulicy Agrestowej,ul. Agrestowa,Wawer,ulica
ulica Agrykola,ulicy Agrykola,ul. Agrykola,Śródmieście,ulica
ulica Akacjowa,ulicy Akacjowej,ul. Akacjowa,Mokotów,ulica
ulica Akacjowa,ulicy Akacjowej,ul. Akacjowa,Wesoła,ulica
ulica Akademicka,ulicy Akademickiej,ul. Akademicka,Ochota,ulica
Rondo Akademii Wychowania Fizycznego,Ronda Akademii Wychowania Fizycznego,Rondo AWF,Bielany,Rondo
ulica Akantu,ulicy Akantu,ul. Akantu,Bemowo,ulica
ulica Akcent,ulicy Akcent,ul. Akcent,Bielany,ulica
ulica Akermańska,ulicy Akermańskiej,ul. Akermańska,Mokotów,ulica
ulica Aksamitki,ulicy Aksamitki,ul. Aksamitki,Wilanów,ulica
ulica Aksamitna,ulicy Aksamitnej,ul. Aksamitna,Włochy,ulica
ulica Aktorska,ulicy Aktorskiej,ul. Aktorska,Ursus,ulica
ulica Akurat,ulicy Akurat,ul. Akurat,Włochy,ulica
ulica Akustyczna,ulicy Akustycznej,ul. Akustyczna,Ursynów,ulica
ulica Akwarelowa,ulicy Akwarelowej,ul. Akwarelowa,Wawer,ulica
ulica Alabastrowa,ulicy Alabastrowej,ul. Alabastrowa,Wesoła,ulica
ulica Albatrosów,ulicy Albatrosów,ul. Albatrosów,Ursynów,ulica
ulica Aleksandrowska,ulicy Aleksandrowskiej,ul. Aleksandrowska,Wawer,ulica
ulica Algierska,ulicy Algierskiej,ul. Algierska,Praga-Południe,ulica
ulica Alpejska,ulicy Alpejskiej,ul. Alpejska,Wawer,ulica
ulica Alternatywy,ulicy Alternatywy,ul. Alternatywy,Ursynów,ulica
ulica Altowa,ulicy Altowej,ul. Altowa,Ochota,ulica
ulica Aluzyjna,ulicy Aluzyjnej,ul. Aluzyjna,Białołęka,ulica
ulica Aluzyjna - wjazd,ulicy Aluzyjnej - wjazd,ul. Aluzyjna - wjazd,Białołęka,ulica
ulica Alzacka,ulicy Alzackiej,ul. Alzacka,Praga-Południe,ulica
ulica mjr. Franciszka Michała Amałowicza „Tatara”,ulicy mjr. Franciszka Michała Amałowicza „Tatara”,ul. mjr. F. M. Amałowicza „Tatara”,Rembertów,ulica
ulica Amarantowa,ulicy Amarantowej,ul. Amarantowa,Targówek,ulica
ulica Ambaras,ulicy Ambaras,ul. Ambaras,Białołęka,ulica
ulica Amelińska,ulicy Amelińskiej,ul. Amelińska,Targówek,ulica
ulica Ametystowa,ulicy Ametystowej,ul. Ametystowa,Targówek,ulica
ulica Ametystowa,ulicy Ametystowej,ul. Ametystowa,Wesoła,ulica
ulica Roalda Amundsena,ulicy Roalda Amundsena,ul. R. Amundsena,Ursynów,ulica
ulica Analityczna,ulicy Analitycznej,ul. Analityczna,Włochy,ulica
ulica Ananasowa,ulicy Ananasowej,ul. Ananasowa,Mokotów,ulica
ulica gen. Władysława Andersa,ulicy gen. Władysława Andersa,ul. gen. W. Andersa,Śródmieście,ulica
ulica Hansa Christiana Andersena,ulicy Hansa Christiana Andersena,ul. H. Ch. Andersena,Bielany,ulica
ulica Michała Elwira Andriollego,ulicy Michała Elwira Andriollego,ul. M. E. Andriollego,Bemowo,ulica
ulica Andromedy,ulicy Andromedy,ul. Andromedy,Bielany,ulica
ulica Andrutowa,ulicy Andrutowej,ul. Andrutowa,Wilanów,ulica
ulica Andrychowska,ulicy Andrychowskiej,ul. Andrychowska,Wola,ulica
ulica Andrzejowska,ulicy Andrzejowskiej,ul. Andrzejowska,Ochota,ulica
ulica Andyjska,ulicy Andyjskiej,ul. Andyjska,Bemowo,ulica
ulica Anecińska,ulicy Anecińskiej,ul. Anecińska,Białołęka,ulica
ulica Angorska,ulicy Angorskiej,ul. Angorska,Praga-Południe,ulica
ulica Mordechaja Anielewicza,ulicy Mordechaja Anielewicza,ul. M. Anielewicza,"Śródmieście, Wola",ulica
ulica Anilinowa,ulicy Anilinowej,ul. Anilinowa,Białołęka,ulica
ulica Animuszu,ulicy Animuszu,ul. Animuszu,Białołęka,ulica
ulica Annopol,ulicy Annopol,ul. Annopol,"Białołęka, Targówek",ulica
ulica Anny Jagiellonki,ulicy Anny Jagiellonki,ul. Anny Jagiellonki,Bielany,ulica
ulica Józsefa Antalla,ulicy Józsefa Antalla,ul. J. Antalla,Białołęka,ulica
ulica Antenowa,ulicy Antenowej,ul. Antenowa,Wawer,ulica
ulica Antka Rozpylacza,ulicy Antka Rozpylacza,ul. Antka Rozpylacza,Wola,ulica
ulica św. Antoniego,ulicy św. Antoniego,ul. św. Antoniego,Wesoła,ulica
ulica Antoniewska,ulicy Antoniewskiej,ul. Antoniewska,Mokotów,ulica
ulica Antyczna,ulicy Antycznej,ul. Antyczna,Bielany,ulica
ulica Antygony,ulicy Antygony,ul. Antygony,Targówek,ulica
ulica Anyżkowa,ulicy Anyżkowej,ul. Anyżkowa,Ursynów,ulica
ulica Apartamentowa,ulicy Apartamentowej,ul. Apartamentowa,Ursus,ulica
ulica Apenińska,ulicy Apenińskiej,ul. Apenińska,Bemowo,ulica
ulica Aplikancka,ulicy Aplikanckiej,ul. Aplikancka,Ochota,ulica
ulica Apollina,ulicy Apollina,ul. Apollina,Bemowo,ulica
ulica Apteczna,ulicy Aptecznej,ul. Apteczna,Praga-Południe,ulica
ulica Apteczna,ulicy Aptecznej,ul. Apteczna,Wesoła,ulica
ulica Arabska,ulicy Arabskiej,ul. Arabska,Praga-Południe,ulica
ulica Arachidowa,ulicy Arachidowej,ul. Arachidowa,Ursynów,ulica
