1   ,ulica Abecadło                                           ,ulicy Abecadło                                                                  ,ul. Abecadło
2   ,ulica gen. Romana Abrahama                               ,ulicy gen. Romana Abrahama                                                      ,ul. gen. R. Abrahama
3   ,ulica Edwarda Józefa Abramowskiego                       ,ulicy Edwarda Józefa Abramowskiego                                              ,ul. E. J. Abramowskiego
4   ,ulica Franciszka Adolfa Achera                           ,ulicy Franciszka Adolfa Achera                                                  ,ul. F. A. Achera
5   ,ulica Achillesa                                          ,ulicy Achillesa                                                                 ,ul. Achillesa
6   ,Rondo płk. Bernarda Adameckiego                          ,Ronda płk. Bernarda Adameckiego                                                 ,Rondo płk. B. Adameckiego
7   ,ulica Karola Adamieckiego                                ,ulicy Karola Adamieckiego                                                       ,ul. K. Adamieckiego
8   ,ulica Adampolska                                         ,ulicy Adampolskiej                                                              ,ul. Adampolska
9   ,ulica Admiralska                                         ,ulicy Admiralskiej                                                              ,ul. Admiralska
10  ,ulica Adriatycka                                         ,ulicy Adriatyckiej                                                              ,ul. Adriatycka
11  ,ulica Afrodyty                                           ,ulicy Afrodyty                                                                  ,ul. Afrodyty
12  ,ulica Afrykańska                                         ,ulicy Afrykańskiej                                                              ,ul. Afrykańska
13  ,ulica Agatowa                                            ,ulicy Agatowej                                                                  ,ul. Agatowa
15  ,ulica Agawy                                              ,ulicy Agawy                                                                     ,ul. Agawy
17  ,ulica Agnieszki                                          ,ulicy Agnieszki                                                                 ,ul. Agnieszki
18  ,ulica Agrarna                                            ,ulicy Agrarnej                                                                  ,ul. Agrarna
19  ,ulica Agrestowa                                          ,ulicy Agrestowej                                                                ,ul. Agrestowa
20  ,ulica Agrykola                                           ,ulicy Agrykola                                                                  ,ul. Agrykola
21  ,ulica Akacjowa                                           ,ulicy Akacjowej                                                                 ,ul. Akacjowa
23  ,ulica Akademicka                                         ,ulicy Akademickiej                                                              ,ul. Akademicka
24  ,ulica Akantu                                             ,ulicy Akantu                                                                    ,ul. Akantu
25  ,ulica Akcent                                             ,ulicy Akcent                                                                    ,ul. Akcent
26  ,ulica Akermańska                                         ,ulicy Akermańskiej                                                              ,ul. Akermańska
27  ,ulica Aksamitna                                          ,ulicy Aksamitnej                                                                ,ul. Aksamitna
28  ,ulica Aktorska                                           ,ulicy Aktorskiej                                                                ,ul. Aktorska
29  ,ulica Akurat                                             ,ulicy Akurat                                                                    ,ul. Akurat
30  ,ulica Akustyczna                                         ,ulicy Akustycznej                                                               ,ul. Akustyczna
31  ,ulica Akwarelowa                                         ,ulicy Akwarelowej                                                               ,ul. Akwarelowa
32  ,ulica Alabastrowa                                        ,ulicy Alabastrowej                                                              ,ul. Alabastrowa
33  ,ulica Albatrosów                                         ,ulicy Albatrosów                                                                ,ul. Albatrosów
34  ,ulica Aleksandrowska                                     ,ulicy Aleksandrowskiej                                                          ,ul. Aleksandrowska
35  ,ulica Algierska                                          ,ulicy Algierskiej                                                               ,ul. Algierska
36  ,ulica Alpejska                                           ,ulicy Alpejskiej                                                                ,ul. Alpejska
37  ,ulica Alternatywy                                        ,ulicy Alternatywy                                                               ,ul. Alternatywy
38  ,ulica Altowa                                             ,ulicy Altowej                                                                   ,ul. Altowa
39  ,ulica Aluzyjna                                           ,ulicy Aluzyjnej                                                                 ,ul. Aluzyjna
40  ,ulica Aluzyjna - wjazd                                   ,ulicy Aluzyjnej - wjazd                                                         ,ul. Aluzyjna - wjazd
41  ,ulica Alzacka                                            ,ulicy Alzackiej                                                                 ,ul. Alzacka
42  ,ulica mjr. Franciszka Michała Amałowicza „Tatara”        ,ulicy mjr. Franciszka Michała Amałowicza „Tatara”                               ,ul. mjr. F. M. Amałowicza „Tatara”
43  ,ulica Amarantowa                                         ,ulicy Amarantowej                                                               ,ul. Amarantowa
44  ,ulica Ambaras                                            ,ulicy Ambaras                                                                   ,ul. Ambaras
45  ,ulica Amelińska                                          ,ulicy Amelińskiej                                                               ,ul. Amelińska
46  ,ulica Ametystowa                                         ,ulicy Ametystowej                                                               ,ul. Ametystowa
48  ,ulica Roalda Amundsena                                   ,ulicy Roalda Amundsena                                                          ,ul. R. Amundsena
49  ,ulica Analityczna                                        ,ulicy Analitycznej                                                              ,ul. Analityczna
50  ,ulica Ananasowa                                          ,ulicy Ananasowej                                                                ,ul. Ananasowa
51  ,ulica gen. Władysława Andersa                            ,ulicy gen. Władysława Andersa                                                   ,ul. gen. W. Andersa
52  ,ulica Hansa Christiana Andersena                         ,ulicy Hansa Christiana Andersena                                                ,ul. H. Ch. Andersena
53  ,ulica Michała Elwira Andriollego                         ,ulicy Michała Elwira Andriollego ul. M. E. Andriollego                          ,""
54  ,ulica Andromedy                                          ,ulicy Andromedy                                                                 ,ul. Andromedy
55  ,ulica Andrutowa                                          ,ulicy Andrutowej                                                                ,ul. Andrutowa
56  ,ulica Andrychowska                                       ,ulicy Andrychowskiej                                                            ,ul. Andrychowska
57  ,ulica Andrzejowska                                       ,ulicy Andrzejowskiej                                                            ,ul. Andrzejowska
58  ,ulica Andyjska                                           ,ulicy Andyjskiej                                                                ,ul. Andyjska
59  ,ulica Anecińska                                          ,ulicy Anecińskiej                                                               ,ul. Anecińska
60  ,ulica Angorska                                           ,ulicy Angorskiej                                                                ,ul. Angorska
61  ,ulica Mordechaja Anielewicza                             ,ulicy Mordechaja Anielewicza                                                    ,ul. M. Anielewicza
62  ,ulica Anilinowa                                          ,ulicy Anilinowej                                                                ,ul. Anilinowa
